text,createTime,authorMeta.id,authorMeta.secUid,authorMeta.name,authorMeta.nickName,musicMeta.musicId,musicMeta.musicName,videoMeta.duration,description_length,n_hashtags,has_hashtags,author_verified,music_is_original,hour_posted,day_of_week,musicAuthor_Billie Eilish,musicAuthor_Evan Holmes,musicAuthor_F1 moments,musicAuthor_Kreepa,musicAuthor_Pop Smoke,musicAuthor_Riovacci,musicAuthor_Tik Toker,musicAuthor_Tim Thebodeau,musicAuthor_mo.rab,musicAuthor_other,musicAuthor_zopepijn,viral
Ben hopelijk niet de enigste😭 #fyp #dutch #fy,2020-10-22 12:15:29,7314134.0,MS4wLjABAAAAMV7SNh1volPI8z1rDfhRGMFi3jMwu3WR1mrHLnp7huQ,aylaisah,Ayla Umarella,6.855781280504663e+18,origineel geluid,8.0,45,3,1,0,1,12,3,False,False,False,False,False,False,False,False,False,True,False,0
#stitch met @charlielifefitness vandaag in deze aflevering van “hoeveel TikTok kan ik kijken totdat ik mezelf compleet haat...” #dutch #humor,2020-10-13 20:56:51,6.815614324688061e+18,MS4wLjABAAAA-Q8F8ag0b2aqCrhmZDuy8Nq1ttqlo6nceOdAEe1v0ojGqjbFkt2Yl5SfTwZsFTAr,gaaf_in,Gavin Reijnders,2.2250094516999782e+17,Jailhouse Rock,10.0,141,3,1,0,0,20,1,False,False,False,False,False,False,False,False,False,True,False,0
Wist jij dit? 👀 #sportplazagroenendaal #zwemmen #zwembad #glijbaan #badmeester #badjuf #werken #glijbaanchallenge,2020-11-08 15:06:56,6.829372384031901e+18,MS4wLjABAAAAyhtbhn2mEy0NjY9dPzwiSXo-Hmt5YW4JiMKr1mUNidxFoMouq62KGoAP-EkH2haK,sportplazagroenendaal,SportPlaza Heemstede,6.837446677348027e+18,Street Fashion Game,13.0,113,8,1,0,1,15,6,False,False,False,False,False,False,False,False,False,True,False,1
Lets help the bacons #roblox #hacks #exploiting #bunbungirls,2020-12-15 19:46:23,6.877781654062253e+18,MS4wLjABAAAAt7dMYEEhrkfw1z9cfs3_OSVHED1f4abbOe4OK9EGqv1nibDw6l4uS-pBq50IN2YY,roblox_trollingexploits,Error 123,6.587054961664726e+18,original sound,15.0,60,4,1,0,1,19,1,False,False,False,False,False,False,False,False,False,True,False,0
#dance #garrafa #horadearrasar #girl #challenge #musically #music,2020-12-17 21:06:20,6.563548229581423e+18,MS4wLjABAAAAByNqbJCtA9PfwY1ICwGomesu7URs6GhushkQeWleqhqsTSRmCKKi1GpUXOWabnbI,jhullyduarte,Jhully Duarte,6.907334593603554e+18,som original,13.0,65,7,1,0,1,21,3,False,False,False,False,False,False,False,False,False,True,False,1
Welkom in Nederland🙋🏼‍♂️ #nederland #dutch #stamppot #voorjoupagina #fyp #foodmeme #flodder #15sworkout,2020-10-13 13:21:02,6.813336748010505e+18,MS4wLjABAAAAuVhbQkz-yEaZw2Rauq_sn-rNJte4Y04paH3-5_-BzktXd0J7kxbBIMhU0Kw6mJ4i,chef.lukeyluc,Chef.LukeyLuc,6.809994980459892e+18,Originalton,8.0,103,8,1,0,1,13,1,False,False,False,False,False,False,False,False,False,True,False,1
Ben ik de enigste die dit doet? #foryou#pizzametananas#noticeme#xyzbca#viral#like#comment,2020-12-16 11:42:10,6.858994019927066e+18,MS4wLjABAAAArSEdVg8EdcJJtenorY0GFg-t0Mys8s9AHrbwKCr1Mal_6QB_SNbueuSoYQg5lJ0m,pizza_metananas,Nina,6.844542304192089e+18,original sound - 🌸Ri Za🌸,11.0,89,7,1,0,1,11,2,False,False,False,False,False,False,False,False,False,True,False,0
"ඔන්න අද මගේ GF පෙන්නනවා,ලස්සනයි ද කියන්න බලන්න 😍😍පළමු වතාවට මගේ GF පෙන්නන්නෙ හැබැයි අන්තිමට",2020-09-25 07:07:18,6.668785904163324e+18,MS4wLjABAAAAqPk3aQsV2O6RCKb0jIIGKiwrNF0FgGuz1wXuKcHEqnltEO5FgXyzPoUW7T3a8elG,_nisandu_kgnk_,Nisandu kaushalya💖,6.876318371693137e+18,original sound,15.0,91,0,0,0,1,7,4,False,False,False,False,False,False,False,False,False,True,False,0
tag de gierigaard van je vriendengroep! #ruinourfriendship #loversinstead #friendship #friends #dutch #funny,2020-11-30 16:05:27,6.813398806265464e+18,MS4wLjABAAAA-E1mEKizr4DwnOckvYgJVq7sw225g2x8WADNJU4GKtjUxTyuqXRHuEv_AjVVbsRS,pudding.broodje,I L S E,6.899533138922671e+18,ruin our friendship,11.0,108,6,1,0,1,16,0,False,False,False,False,False,False,False,False,False,True,False,0
Makkelijk afvallen? #fatloss #gezond #fitness #fitdutchie #fitdutch  #vetverbranding #sportschool,2020-09-22 14:47:43,6.810398238781457e+18,MS4wLjABAAAA5gqxCMLB7DVWMs3b-Z67JcFPzE1IOWhtFafvsgPFghktWCaojUHp5GICB-7gQB3f,marc.koolen,Marc,6.875323788842601e+18,origineel geluid,15.0,97,7,1,0,1,14,1,False,False,False,False,False,False,False,False,False,True,False,0
තරහයිද මා එක්ක 🥺 අත දැම්මානේ 😡,2020-10-18 12:25:56,6.541724785074771e+18,MS4wLjABAAAAcsyWSkGux2_5imfAsa959-3jm3xbMf2loR0zDa-Wn-xn0nKSOZ5N0KY4k3SeRNBp,himalkekulawala,Himal Kekulawala,6.852913461234093e+18,Original Sound,13.0,30,0,0,0,0,12,6,False,False,False,False,False,False,False,False,False,True,False,0
where my selfish bottoms at? #fyp #voorjou #netherlands #grindr #gay,2020-11-08 17:26:57,6.803772101709268e+18,MS4wLjABAAAA8RkcEVpIlb3biteEwg-M9RukyaXNk65You2H56br1EK0GC_wxvpOCQEaPUd8Doh7,orangepotato56,👑,6.568746626930871e+18,Blow Your Mind (Mwahchallenge),7.0,68,5,1,0,0,17,6,False,False,False,False,False,False,False,False,False,True,False,0
#fyp #foryou #xyzbca #foryoupage #boyfriend,2020-10-23 10:45:41,6.885956398250362e+18,MS4wLjABAAAA08i_FV1d4UDThMEGfTZiUn0VG-0MQdvC_MNpaJb9UKSpXVq5FcE5YVWog3-hGdIs,x.maruska0475,m-0475,6.880175664549645e+18,origineel geluid,9.0,43,5,1,0,1,10,4,False,False,False,False,False,False,False,False,False,True,False,0
Reply to @mvo97 #gains #bodybuilding #training,2020-09-22 17:49:28,6.733926208025085e+18,MS4wLjABAAAAJhkh-MzXMx30sao69Z9g2tEaLXYXdVCvlgZDIFjdn8W40nRDv1PS8Xt5odCHKPQ1,marqsheino,Markus Heinonen,6.867335919502937e+18,EverybodyMakesMistakes,5.0,46,3,1,0,1,17,1,False,False,False,False,False,False,False,False,False,True,False,0
Can't he be lucky for one time?? #fyp #fy #foryoupage #foryou #voorjou #formula1 #f1 #racing #maxverstappen #redbullracing #crash #dnf #badluck #imola,2020-11-01 16:13:17,6.621853416191721e+18,MS4wLjABAAAAs-5m-in7CLBK4AqIZ4Tzk55KccMba7eRPGmzi0NdhPykIV1CI-VwB4E_s_2uVjK3,dyon.b,Dyon,6.877671671927426e+18,hometown slowed down twenty one pilots,22.0,150,14,1,0,1,16,6,False,False,False,False,False,False,False,False,False,True,False,0
"Oeps, het bord stond nog aan! #areyoudumb #meester #foryou #school #fyp #docent #leerling",2020-12-01 16:11:39,6.620034436397236e+18,MS4wLjABAAAAwiZ1AoK8hG5QoLKkuaRIOxkvYfR0NuQqc7oyQw93SQXKOXd-DqUSeJpkQkGWY6ai,meesterjesper,Meester Jesper,6.72495801219844e+18,DUMB DUMB,8.0,89,7,1,0,1,16,1,False,False,False,False,False,False,False,False,False,True,False,1
guapas 😾🙌 #narutoshippuden #hokage #meituremi #pakura #karinuzumaki #twitor #amv #animeedit #foryoupage #_xny twixtor: @nejixc uwu,2020-11-10 21:34:32,6.842899794130863e+18,MS4wLjABAAAAe6Sfg7_RjNDdRUKP5G45INZP51bJAaj1dCjdyszw2bl2yge0TxzPZp3AIfRBoKwU,by.shahori,𝘽𝙮.𝙨𝙝𝙖𝙝𝙤𝙧𝙞,6.893611763158273e+18,sonido original,12.0,130,10,1,0,1,21,1,False,False,False,False,False,False,False,False,False,True,False,0
#worldcup #laliga #football #premierleague,2020-12-10 08:06:32,6.887765742683915e+18,MS4wLjABAAAAgadiZ0lFYVDJ9aTP_7v8hWG-reAi79nsb7bB8hmrdAU1a-ACJKpdpmM1j7lEcD3r,jackblees,Alexia,6.586947002464996e+18,Oh No,11.0,42,4,1,0,0,8,3,False,False,False,True,False,False,False,False,False,False,False,1
#like #comments #follow #🐍🐍🐍🐍🐍🐍🐍🐍 #👍👍👍 #fyp #foryou #foryoupage #standwithkashmir #share,2020-10-29 03:07:09,6.629600851550355e+18,MS4wLjABAAAAtN5SL5_ajHiY1DUxDx665hx4nTE4IDLjmSLcGo_w3P-l7EfZDpSJRmpNuuJb5S_u,anwarali0125,ANNU,6.857905964893441e+18,original sound,14.0,88,10,1,0,1,3,3,False,False,False,False,False,False,False,False,False,True,False,0
It’s a no from me. Be smart and work hard #fyp #foryou #foryoupage #gymshark #fitness #bodybuilder #supplements,2020-10-05 02:09:41,6.830062072786322e+18,MS4wLjABAAAAdmUYDSIo8Y1s-uBzybtxz86CSfgW4ikzWskzqKlvUCwumNKs4uubDrghpM4P2c7k,evan_holmes_,Evan Holmes,6.79298734617107e+18,Say So (Instrumental Version) [Originally Performed by Doja Cat],52.0,111,7,1,0,0,2,0,False,False,False,False,False,False,False,False,False,True,False,0
#fyp #🐍🐍🐍🐍🐍🐍🐍🐍 #foryou #standwithkashmir #rizwandurrani57 @rehankhan3724,2020-10-18 12:16:38,6.707203238452119e+18,MS4wLjABAAAABcHtLc6p0k7jHJIFnH6IuN4qjHtFGIvEYlL1mgkruHjuOuhYNADpiIqxQo7ulPPG,rizwandurrani57,Rizwan Durrani,6.884933064972176e+18,original sound,15.0,72,5,1,0,1,12,6,False,False,False,False,False,False,False,False,False,True,False,0
#fight#anime#animeedit#animefight#vs#berry#viral#pibes#parati#fyp,2020-11-16 22:04:41,6.823048263748716e+18,MS4wLjABAAAAXqDQb2hhbH8ro26dqZ-tYQzBCO5ZuqNZdzwhS9PdPYmvUvP9x7xQvo85uHqqYbzt,maxzg7,Juan Gomez,6.871457877022739e+18,nhạc nền - ⚡Acacia⚡,5.0,65,10,1,0,1,22,0,False,False,False,False,False,False,False,False,False,True,False,1
#fyp #🐍🐍🐍🐍🐍🐍🐍🐍 #foryou #standwithkashmir                                     عشق وار خَتاَ دِ کم,2020-10-18 12:18:08,6.707203238452119e+18,MS4wLjABAAAABcHtLc6p0k7jHJIFnH6IuN4qjHtFGIvEYlL1mgkruHjuOuhYNADpiIqxQo7ulPPG,rizwandurrani57,Rizwan Durrani,6.6403329750346e+18,Ishqa za tabah de krom,20.0,96,4,1,0,1,12,6,False,False,False,False,False,False,False,False,False,True,False,0
#Top10 Strongest #onepiece Characters by the end of the show. #anime #strongestcharacters #animeboy #luffy #zoro #animeedit #animeedits #animestiktok,2020-10-14 22:21:32,6.716564983927211e+18,MS4wLjABAAAAhyIXSnB4X9tmTfUvOyv9gkou_j8CKtylbkwjpZpgbYfZ5LARSRXqphHsQu4mPo_p,ernie.senpai,Ernie Senpai,6.883604584355368e+18,original sound,43.0,149,10,1,0,1,22,2,False,False,False,False,False,False,False,False,False,True,False,1
Absolute power is a helluva drug. #power #legday #boss #ceo #truestory #fitness,2020-10-21 23:13:52,6.730012831293572e+18,MS4wLjABAAAAA8Hmd3IBkLJnIAezGMRWOx33N2Ad2JRK_uK7t0h7py6gzA-GaOl48TGecLY3twQj,benjamin_robert_graham,Benjamin_Graham,6.795196970278325e+18,reality can he whatever i want,8.0,79,6,1,0,1,23,2,False,False,False,False,False,False,False,False,False,True,False,0
De qual gostas mais? Good guy 🙂 or Bad guy? 😏 #linhacongelante #timewarpscan #mirror #transition #dlaciebie #reflection #kapinha #sike #spooky #fyp,2020-11-26 12:40:06,6.799759559303005e+18,MS4wLjABAAAAWjF77tahXCXfjuTEQkJCkzFf0oELAjipqGoBMBU4C7QnO7WRaGN8MDbfEHalG_JT,kapinhaoficial,Kapinha,6.756963366746476e+18,COPYCAT x Bad Guy,13.0,147,10,1,0,1,12,3,False,False,False,False,False,False,False,False,False,True,False,0
#kane #VeryBlackFriday #wwe #viral #memories #video #undertaker #fyp #goviral 🤘🏻🔥,2020-11-24 09:04:54,7.104805198072627e+16,MS4wLjABAAAAquhfx1X_ntrJffuQDaZ3xXZw86R_Cl0KlpAYjdh9QDl7QcMvHzRus10yzLKIa2Eb,zl15_,Zak Langford,6.898613785205034e+18,original sound,25.0,81,8,1,0,1,9,1,False,False,False,False,False,False,False,False,False,True,False,0
Reply to @user26770788 #theboys #WorldSeries #GamingLife #foryou #fyp,2020-10-21 00:19:27,6.730707714798192e+18,MS4wLjABAAAALisMQ2MnkplsSB7TIGnDlro5cHcYFbEwtHo2xqMgTyAV7HDTZ6dSnxk_xwb3R1cY,jonbezrouch,JonBezrouch,6.757175376029436e+18,Falling,44.0,69,5,1,0,0,0,2,False,False,False,False,False,False,False,False,False,True,False,0
Dejo el POV en sus manos xd(créditos a @..aguadeuwu ) #anime #animeedit #yumeko #billieeilish #bakugou #shoto #iidatenya #uraraka,2020-10-04 14:29:51,6.863031467317478e+18,MS4wLjABAAAAkCPtee5kO8RDLiHpqLwdq0k2bwrOBT8Y9qCVIcvmdmeUB82oTYbU5l8RjZ8FGMoD,potofrio21,-.🧚‍♀️✨👵🏾✋🏿🧚‍♀️✨.-,6.847647314127932e+18,What You Know Bout Love,21.0,129,8,1,0,0,14,6,False,False,False,False,True,False,False,False,False,False,False,0
vaieral vedeo please for you for youpage,2020-11-09 13:45:58,6.873144428494046e+18,MS4wLjABAAAAk8CyI24_rqcIeWQfqQks0_txm9K_tT3s-Q0YoXEp9tVe9NPtAsq0-qkJYdjUzTL5,jibrankoko7,Jibran Khan,6.893119955223547e+18,original sound,15.0,40,0,0,0,1,13,0,False,False,False,False,False,False,False,False,False,True,False,0
#duet with @brockfit__ - this is probably the wildest one I’ve seen personally. #strength #peopleareawesome #gym,2020-10-09 14:15:54,6.730012831293572e+18,MS4wLjABAAAAA8Hmd3IBkLJnIAezGMRWOx33N2Ad2JRK_uK7t0h7py6gzA-GaOl48TGecLY3twQj,benjamin_robert_graham,Benjamin_Graham,6.880411963634028e+18,original sound,54.0,112,4,1,0,1,14,4,False,False,False,False,False,False,False,False,False,True,False,0
Передачи от первого лица😄#bellaforteens #ставрополь #футбол #football #рек #рекомендации #rec #recommendations @step__12,2020-11-18 19:03:55,6.727325107461981e+18,MS4wLjABAAAAf_m9YNwzFzAQjO46v1jHDoezI_WOOdXYCDSl9VQJtu9Alt7ms2pu3CwA8Pc9uNDa,krotik26,Krotik,6.896541674575547e+18,оригинальный звук,35.0,120,8,1,0,1,19,2,False,False,False,False,False,False,False,False,False,True,False,0
tá entrei na bad dps desse vídeo...(🚫ALERTA GATILHO🚫)#4upage #tradução #otaku #anime #animecasal #bad #animeedit #virall #fy,2020-10-17 20:28:52,6.86607607813995e+18,MS4wLjABAAAAG0udzBTSNFc5UgRlD1BF9v7JuBzvT7cRCWcwimO7haWYqdq3GrvM-IChEplz_MiM,sasha.editsx,ninichan🦋,6.884688837650484e+18,som original,32.0,124,9,1,0,1,20,5,False,False,False,False,False,False,False,False,False,True,False,0
#horadearrasar,2020-12-16 15:05:11,6.88322725244181e+18,MS4wLjABAAAAItpDDXBd2_bJ6IS-EXWltrnFBxxOV1lRU55d9T98zTE8efaWkZbHLlOme0A8cUpn,matheus__36,user890466908554,6.757035844780968e+18,Palhação do Mal,13.0,14,1,1,0,0,15,2,False,False,False,False,False,False,False,False,False,True,False,0
#fypシ #amv #anime #animation #edit #haikyuu #hinatashoyo #weeb #animeedit,2020-11-30 20:42:45,6.860627097015535e+18,MS4wLjABAAAApcaJKUaMb0WyWNjih-2VgoQ-zZ0Rm3h2y4EyDHzo92YOJ-rks08_8317RJP7g3Uy,piki__edits,PIKI,6.901020142025985e+18,sonido original,33.0,73,9,1,0,1,20,0,False,False,False,False,False,False,False,False,False,True,False,0
Un rival 😑😑 #zerotwo #darlinginthefranxx #animeedit #waifu #zerotwoedits,2020-11-22 19:42:25,6.890524101929698e+18,MS4wLjABAAAA4mNWcnP88eV-jVo1giSlcj5ugoGSG9QPcBkmQWNecOiXJQh0Yca2UMsbs7X1qANs,un.simple_chico,Armando Ackerman,6.89803592616169e+18,sonido original,7.0,72,5,1,0,1,19,6,False,False,False,False,False,False,False,False,False,True,False,0
#jhope #junghoseok #ПорадуйМаму #검둥개 #bts_official_bighit #recommendations #방탄소년단 #глобальныерекомендации #р_е_к_о_м_и_н_д_а_ц_и_и #horse,2020-12-02 15:28:16,6.697512063801017e+18,MS4wLjABAAAAz6HDaSI30Rlp1dUDhsBZNYE-5XZJJuE9JdbJIeB2sgQ8cBlwnkc7Gbj5trPgGO-t,cinsubun_10,_cinsubun_,6.892365012652854e+18,оригинальный звук,10.0,137,9,1,0,1,15,2,False,False,False,False,False,False,False,False,False,True,False,0
🏹 | I’m having some of my charli cake from my bday 🥺 | 🏹 | @charlidamelio | 🏹 | #fyp #foryou #birthdaycake #charli #queen #cake #blm,2020-10-25 19:41:47,6.818607940510483e+18,MS4wLjABAAAAlemFDjGxdHcre4Rwma19NMLrP4penJgeipMdVx7U9Y8__I99S6WBzxnv7D-O6f5i,trexchars,zooba owns my heart <3,6.864673209724259e+18,Photograph,15.0,132,7,1,0,1,19,6,False,False,False,False,False,False,False,False,False,True,False,1
Maar er is écht veel mis aan deze video🤯😫Deze juf is toe aan weekend! #groep8a #juf #foutekersttruiendag #tegroot #badhair #stokstruggles #iloveit,2020-12-11 16:00:51,6.203301821896704e+16,MS4wLjABAAAAuXWxBlwAjSdmHpG3sVlpF_qeodTeyl89bpxTh1-4260hlIaREG1-9ZtJxKgI7scX,ivananas_,Ivananas🍍,6.895372307825708e+18,Jingle Bell Rock,8.0,146,7,1,0,1,16,4,False,False,False,False,False,False,False,False,False,True,False,0
AHHAHAHA #timewarpscan #drunkface,2020-10-04 19:00:53,26729425.0,MS4wLjABAAAAF852pa8Zn3mOZiRtt9EMuL51I4s77GtyVSngRi6mBNk,stinaesther,Es,6.869403344385871e+18,verified ppl r using this im crying buh bye,9.0,33,2,1,0,1,19,6,False,False,False,False,False,False,False,False,False,True,False,1
#stitch mit @guinnessworldrecords #sonnelebensfroh#fy#fyp#fun,2020-12-13 15:21:44,6.67291462128586e+18,MS4wLjABAAAA7PMQjcPF2Fg_hup_MQ377D3A-lrPPbNJBTYYej5RgVErbLVGOHWIdpIrNwY45da2,sonnelebensfroh,Sonnelebensfroh,6.905761514956213e+18,Originalton,12.0,61,5,1,0,1,15,6,False,False,False,False,False,False,False,False,False,True,False,1
Thank you so much for all the support!!,2020-11-25 18:53:54,6.751836460218271e+18,MS4wLjABAAAAUvbbwqh2aoAE2qhPaF8sf6gBqdW9OcO793YG3qeA2uIIwtz2IfsKX6kq8SQuBPen,relaxify,RELAXIFY | Oddly Satisfying,6.847647314127932e+18,What You Know Bout Love,8.0,39,0,0,0,0,18,2,False,False,False,False,True,False,False,False,False,False,False,1
The dogs went right in after him 😅 @salty.bun,2020-11-12 15:28:56,6.604420603187675e+18,MS4wLjABAAAAqjlwU56ELbj09lCc_b_k5XcZOCP6iXuPyEuoCnRsAi7gO5jx-Zkb758PlBrUm_ly,riovacci,Riovacci,6.894259746329644e+18,original sound,29.0,45,0,0,0,1,15,3,False,False,False,False,False,True,False,False,False,False,False,1
"One day Zoe is going to be REALLY over my shenanigans, but for now I can still subject her to this kind of breakfast entertainment #hoodiechallenge",2020-12-14 17:50:35,6.792932806059902e+18,MS4wLjABAAAA7Am0BW5HnXtTvaTZnETnhtypojv5NWtdst_f-S7-qsFohDs1lIL2iTk6VgKR-zmL,joanna.rabon,joanna.rabon,6.677864212619857e+18,KinjaBang,12.0,147,1,1,0,0,17,0,False,False,False,False,False,False,False,False,False,True,False,0
I’m the combination #fyp #foryou #fy #voorjou #voorjoupagina #viral,2020-12-04 14:47:09,6.788212025962644e+18,MS4wLjABAAAAGQ0GX-8vJVu1yO0TrK5bslh4DZFbKHZln1cxJ7LUpO4iZqnUxabctmq0vfm1Yjol,demiidejong,Demi de Jong •,6.869575672570891e+18,Combination Taco Bell and Pizza Hut by Das Racist,15.0,67,6,1,0,1,14,4,False,False,False,False,False,False,False,False,False,True,False,0
And then this happened (see previous vid) 🥵 @debs_fl  #tiktokfriends #thirsttrap #missmarketing,2020-11-21 19:39:13,6.749455452130444e+18,MS4wLjABAAAAAMQdjYc-zRnnhFDfWKKxK-HFXjemvKaCripZWTDmASxey8XlNtHGd_3a7iI31Y4S,missmar29plus10,Miss Mar,6.86424780525547e+18,original sound,8.0,95,3,1,0,1,19,5,False,False,False,False,False,False,False,False,False,True,False,0
Is moraine lake on your bucket list? #alberta #canada #travelcanada #travelalberta #banff #morainelake,2020-10-02 16:10:07,6.798588376820909e+18,MS4wLjABAAAA86ZtVjDU442mOurKnpAe0UuELN0cOj6IH7Om-m3EEmB0lESlHzF65-voc3JHadvd,theglobewanderers,Jake and Kaylee,6.530624649733084e+18,Sweet Dreams (A cappella),10.0,102,6,1,0,0,16,4,False,False,False,False,False,False,False,False,False,True,False,1
De @2e persoon heeft smetvrees en de @4e persoon laat alles liggen😂 @marito.dorito  #jufjoyce #verhuisvlog #teacher #comedy #yesidothecooking,2020-10-13 05:41:26,6.626728424634417e+18,MS4wLjABAAAAhefuY3kuSIhZYh1cUQZOvtuZDKXbPfoVeZxnnJRwONou0k7JWXRQr2_tHt5Nhulg,jufjoyce,Juf_Joyce,6.859447951941832e+18,cook clean plot twist tyananana,10.0,141,5,1,0,1,5,1,False,False,False,False,False,False,False,False,False,True,False,0
#POV: Je wilt niet dat je ex je ziet op een feestje en vraagt mij om hulp.. #voorjou #tiktoknl #viraal #ios14,2020-09-23 11:12:47,15418955.0,MS4wLjABAAAAO_wD8btUBXDjq1xlV6ZQBK0t5CXMIViw6ImGB9Qyy2k,justinvanr,Justin,6.811193934040026e+18,die for you,15.0,109,5,1,0,1,11,2,False,False,False,False,False,False,False,False,False,True,False,0
Hard work 🏆💪 #fyp #foryou #fy #freestylefootball #skills,2020-11-19 22:18:37,6.527757153342592e+18,MS4wLjABAAAAf-YcC6-1vn3NGfuGl0MoxI6QFSmTeW4PAe_NF3iuAkoD_1OKKG10AWnm5LmS5d4v,laurafreestyle_,Laura Dekker,6.714306299397459e+18,original sound,14.0,56,5,1,0,1,22,3,False,False,False,False,False,False,False,False,False,True,False,0
#mask #vindiesel #KFCMakeItLegendary #vibewithvin #funny,2020-12-16 11:29:19,6.896167152778331e+18,MS4wLjABAAAAd8FyVoM7aBXUxTIXr4E7BeIzfI5Pbai-Sw-JGaOKOhgRS2HcAeA15YuGv-0ohvIv,im_vindiesel,Vindiesel_FP,6.876997302431616e+18,Overwhelmed remix by Itsluxcity Christian Gates,8.0,56,4,1,0,1,11,2,False,False,False,False,False,False,False,False,False,True,False,1
